,NOMINAL_CAPITAL,NOMINAL_VALUE_OF_UNISSUED_SHARE_CAPITAL,ISSUED_CAPITAL,PAID_UP_CAPITAL,GENERAL_RESERVE,INVESTMENT_FLCTN._RESERVE,UNAPPRTD_SURPLUS_(NET),OTHER_RESERVES,TOTAL_PAID_UP_CAPITAL_&_RESERVES,UNDERWRITING_PROVISIONS,LONG_TERM_LIABILITIES,CURRENT_LIABLITIES,"TOTAL_PAID-UP_CAPITAL,_RESERVES_&_LIABILITIES",LAND_&_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,KENYA_GOVT._SECURITIES,LOCAL_GOVT._AUTHORITY_SECURITIES,OTHER_SECURITIES,DEBENTURES_QUOTED_&_UNQUOTED,PREFERENCE_SHARES_QUOTED/UNQUOTED,INVESTMENTS_IN_SUBSIDIARY,ORDINARY_SHARES_QUOTED/UNQUOTED,SECURED_LOANS_(INCL.LOANS_ON_LIFE_POLICIES),UNSECURED_LOANS,DEPOSITS_(WITH_BANKS_&_OTHER_INSTITUTIONS),OUTSTANDING_PREMIUMS,AMOUNTS_DUE_FROM_OTHER_INSURERS,CASH,MISCELLANEOUS,INTANGIBLE_ASSETS,TOTAL_ASSETS
INTRA AFRICA,150000,50000,100000,100000,0,0,49664,108421,258085,525076,0,72373,855534,122864,0,13002,199800,0,7058,0,1164,0,62031,16440,0,141402,216499,24833,17002,33439,,855534
NO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
UNNAMED: 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUBILEE,370000,0,370000,370000,0,214696,574794,150000,1309490,2506559,0,644461,4460510,0,220000,14620,412078,0,0,0,650,0,1474390,0,0,375000,346108,462931,40873,1113028,832,4460510
KENINDIA,325000,14702,310298,310298,0,64751,171824,-50000,496873,2310165,167095,176613,3150746,656702,0,40058,854294,0,0,15252,0,0,384873,5573,0,112104,391724,583784,82203,24179,0,3150746
KENYA ORIENT,198000,0,198000,198000,1885,0,16155,0,216040,195970,957,29912,442879,41585,62000,16001,19000,0,0,0,0,0,9,0,0,103841,147984,6495,11873,34091,0,442879
KENYA RE,1500000,0,1500000,1500000,0,0,3218299,2315629,7033928,2617703,0,2781223,12432854,0,2585620,338554,741020,0,0,0,97,318680,2737476,710542,0,663001,0,3351426,139202,842956,4280,12432854
KENYA ALLIANCE,100000,0,100000,100000,176420,0,0,41046,317466,1717212,0,117839,2152517,17948,363371,239390,716417,0,0,0,0,0,0,0,0,548799,38800,13564,129608,84620,0,2152517
LION OF KENYA,200000,0,200000,200000,0,128299,574530,36245,939074,2522666,144172,116073,3721985,77280,616000,14655,1203204,0,50605,0,0,50147,94083,0,0,504791,229721,132008,43412,706079,0,3721985
MADISON,100000,0,100000,100000,0,18616,162806,0,281422,249773,88989,72561,692745,0,0,10623,49294,0,0,0,0,0,182561,0,0,68813,184702,172065,6099,18588,0,692745
MERCANTILE,150000,0,150000,150000,0,0,80258,0,230258,249164,28359,16462,524243,86000,0,4374,40247,0,0,0,0,0,160,0,0,215171,31815,0,26647,119829,0,524243
MAYFAIR,300000,98250,201750,201750,-22485,5891,0,0,185156,238995,0,53350,477501,0,0,11192,35329,0,0,0,0,0,41393,0,0,183737,48091,0,16180,141579,0,477501
NO.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
UNNAMED: 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCCIDENTAL,157500,0,157500,157500,0,0,38956,0,196456,484824,84803,76151,842234,190000,0,9247,184380,0,0,0,0,0,11825,0,0,79486,192606,117278,108,51527,5777,842234
PACIS,122670,0,122670,122670,0,0,0,12595,135265,71061,0,13778,220104,50000,0,8419,43710,0,0,0,0,0,11164,0,0,36794,36671,0,12231,17073,4042,220104
"PHOENIX OF
E.A",150000,0,150000,150000,0,735232,359883,0,1245115,813908,0,243343,2302366,0,39750,8122,109463,0,0,0,0,117816,1066621,0,0,46392,137519,0,3975,772708,,2302366
REAL,130000,0,130000,130000,0,0,52269,63987,246256,672907,41516,146735,1107414,215625,0,25232,64507,0,11284,0,0,117752,59072,0,0,37223,169488,20943,20236,311255,54797,1107414
STANDARD,150000,27600,122400,122400,0,0,43502,2239,168141,453017,0,67333,688491,128581,0,29920,18000,0,0,0,0,0,0,0,0,51710,323987,0,4191,132102,0,688491
TAUSI,200000,20000,180000,124949,-13859,0,0,31734,142824,710872,77306,17939,948941,107532,0,12209,101850,0,0,0,0,0,74679,36022,0,351000,9371,0,25765,230117,396,948941
THE MONARCH,216450,0,216450,216450,0,0,-44478,,171972,168500,63799,81556,485827,78388,0,19428,0,0,0,0,0,89768,1000,0,26170,10680,0,74461,200,185732,,485827
TRIDENT,100000,0,100000,100000,0,0,109000,0,209000,816552,133355,18945,1177852,0,3411,2270,191619,0,0,0,0,0,50034,60606,0,392339,117393,163213,29638,167329,0,1177852
UAP PROVINCIAL,500000,0,500000,500000,0,1767491,1450892,402000,4120383,1682436,0,389782,6192601,0,1820000,38811,436189,0,0,0,19384,370404,2328272,42762,0,0,308144,86078,4836,716352,21369,6192601
TOTAL,9452467,257276,9195191,9126788,294812,3175626,11037458,3743802,27378486,34551104,1547359,8605358,72082307,3922437,7636836,1484923,9529781,0,108556,15252,21295,1162936,12998834,2329492,50707,8333967,7076562,7025611,1174769,8955223,255126,72082307
CHARTIS (K),300000,-,300000,300000,,13566,141655,-,455221,827008,-,662388,1944617,-,58000,97805,804917,,,,,,,,,331638,184803,,79908,291538,21170,1944617
AMACO,500000,75000,425000,425000,,,184810,,609810,604225,-,198262,1412297,335750,-,98072,149000,,,,,,,,,357685,153047,,69884,200434,,1412297
APA,500000,-,500000,500000,,-647440,1467206,20281,1340047,3847464,-,367672,5555183,86000,475000,54491,917417,,,,,133458,,33190,103195,270651,770233,621011,42962,321453,158207,5555183
BLUE SHIELD,300000,29000,271000,271000,,17924,-617593,259216,-69453,1282095,0,365568,1578210,512408,0,57232,220421,0,,,,,,,8753,38421,441350,129123,4594,23193,29691,1578210
"BRITISH
AMERICAN",300000,0,300000,300000,0,0,351098,200000,851098,1117341,0,14291,1982730,0,163501,20332,202612,0,0,0,0,0,,294258,0,222500,132168,270773,11358,66288,10725,1982730
CANNON,300000,-,300000,300000,-,-,192302,28125,520427,1221492,0,141031,1882950,45000,419300,12816,158607,0,24500,0,0,0,,0,0,185779,185949,36067,37792,366646,0,1882950
CFC LIFE,460000,-,460000,460000,0,0,-409086,0,50914,360572,0,56770,468256,0,0,0,234501,0,0,0,0,0,,0,0,105606,26723,0,0,101426,0,468256
CONCORD,120000,-,120000,120000,,,27838,27094,174932,464472,97446,25172,762022,0,173300,7420,102200,0,0,0,0,0,,0,0,42619,265925,0,23991,102651,0,762022
COOPERATIVE,285630,0,285630,285630,0,0,221326,26321,533277,1181788,0,99622,1814687,0,0,47249,525381,0,0,0,0,11000,,71475,0,421570,229782,0,80170,401150,0,1814687
CORPORATE,100000,-,100000,100000,0,0,66548,0,166548,328933,0,71184,566665,87691,184475,5682,51221,0,0,0,0,0,,0,0,25521,144308,31674,13030,10827,0,566665
NO.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,,25,26,27,28,29,30,31,32,
UNNAMED: 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECTLINE,300000,79,299921,299921,58407,-1628,0,0,356700,1121392,0,44917,1523009,0,0,50496,340195,0,0,0,0,0,,40000,0,656704,20876,14535,107720,243578,6317,1523009
"EAST AFRICA-
RE",500000,0,500000,500000,0,0,428018,0,928018,932076,0,410860,2270954,0,0,99712,346108,0,71720,0,0,0,,23300,0,986979,615420,0,13868,11729,0,2270954
"FIDELITY
SHIELD",310000,0,310000,266907,55787,,,116909,439603,659182,0,144164,1242949,0,523500,8330,123680,,,,,,,115404,,68301,180734,20099,15239,84912,0,1242949
"FIRST
ASSURANCE",300000,0,300000,300000,129849,55948,0,0,485797,1057762,0,431249,1974808,112000,464917,114485,169585,0,45474,48549,0,0,,0,79944,518901,203135,0,18099,84870,0,1974808
GATEWAY,325000,25000,300000,300000,135,,66230,6090,372455,971253,21619,64128,1429455,58329,257560,4871,178400,,,,,,,1119,,243410,166003,257547,73346,124083,1819,1429455
GEMINIA,150000,0,150000,150000,0,125700,300280,-3177,572803,587667,0,125395,1285865,555150,0,32732,185500,0,0,0,0,0,,2136,0,221336,43777,77227,55765,49368,0,1285865
"GENERAL
ACCIDENT",300000,-,300000,300000,0,102523,249221,138685,790429,1346245,0,165203,2301877,0,414000,24468,"211,285                527,983                810,738",0,0,0,0,0,,291132,0,637155,217492,0,18104,220755,72171,2301877
HERITAGE AII,450000,0,450000,450000,0,123832,770393,0,1344225,1763221,114482,143504,3365432,0,302000,109938,,,,,,55930,,143415,10357,894419,249840,0,50386,456951,37115,3365432
I.C.E.A.,300000,0,300000,300000,0,0,721323,0,1021323,1732279,150697,221359,3125658,717000,0,38856,,0,0,0,0,0,,21841,0,293038,145831,145686,14178,642717,0,3125658
INTRA AFRICA,400000,-,400000,200000,0,0,6151,74494,280645,469764,0,85159,835568,127001,0,18076,206800,0,7861,0,0,0,,15654,0,148505,203630,9964,37136,28300,0,835568
NO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,,25,26,27,28,29,30,31,32,
